current_uA,Ia_tib_ant,II_tib_ant,Ib_tib_ant,MN_tib_ant,Ia_med_gas,II_med_gas,Ib_med_gas,MN_med_gas
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
180,0.160000,0.000000,0.160000,0.000000,0.043333,0.000000,0.043333,0.000000
210,0.560000,0.034333,0.560000,0.000000,0.195000,0.012500,0.195000,0.000000
240,0.880000,0.068667,0.880000,0.000000,0.379167,0.050000,0.379167,0.000000
270,0.960000,0.137333,0.960000,0.000000,0.520000,0.087500,0.520000,0.000000
300,0.970000,0.257500,0.970000,0.000000,0.552500,0.150000,0.552500,0.000000
330,0.980000,0.360500,0.980000,0.000000,0.552500,0.212500,0.552500,0.000000
360,0.980000,0.532167,0.980000,0.000000,0.552500,0.300000,0.552500,0.000000
390,0.980000,0.600833,0.980000,0.000000,0.552500,0.350000,0.552500,0.000000
420,0.980000,0.635167,0.980000,0.000000,0.552500,0.362500,0.552500,0.000000
450,0.980000,0.703833,0.980000,0.000000,0.552500,0.400000,0.552500,0.000000
480,0.980000,0.755333,0.980000,0.000000,0.552500,0.450000,0.552500,0.000000
510,0.980000,0.789667,0.980000,0.000000,0.552500,0.475000,0.552500,0.000000
540,0.980000,0.806833,0.980000,0.000000,0.552500,0.500000,0.552500,0.000000
570,0.980000,0.841167,0.980000,0.000000,0.552500,0.550000,0.552500,0.000000
